Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
transient ischemic attack,transient ischemic attack — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pyelonephritis,pyelonephritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Nephrologist
rotator cuff injury,"rotator cuff injury — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
chronic pain disorder,chronic pain disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
problem during pregnancy,problem during pregnancy — a condition related to pregnancy; management depends on the specific diagnosis and obstetric evaluation.,Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance,Obstetrician-Gynecologist
liver cancer,liver cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Hepatologist / Gastroenterologist; Medical oncologist; Oncologist; Surgical oncologist
atelectasis,atelectasis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the hand,"injury to the hand — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
choledocholithiasis,choledocholithiasis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the hip,"injury to the hip — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
cirrhosis,cirrhosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist
thoracic aortic aneurysm,thoracic aortic aneurysm — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
subdural hemorrhage,subdural hemorrhage — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
diabetic retinopathy,diabetic retinopathy — a metabolic disorder affecting blood sugar regulation; management includes lifestyle measures and medication.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
fibromyalgia,fibromyalgia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
ischemia of the bowel,ischemia of the bowel — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fetal alcohol syndrome,fetal alcohol syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
peritonitis,peritonitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the abdomen,"injury to the abdomen — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
acute pancreatitis,acute pancreatitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
thrombophlebitis,thrombophlebitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
asthma,asthma — a respiratory condition that affects breathing due to airway inflammation or lung damage.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Pulmonologist
foreign body in the vagina,foreign body in the vagina — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
restless leg syndrome,restless leg syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
emphysema,emphysema — a respiratory condition that affects breathing due to airway inflammation or lung damage.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Pulmonologist
cysticercosis,cysticercosis — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
induced abortion,induced abortion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Obstetrician-Gynecologist
teething syndrome,teething syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
infectious gastroenteritis,infectious gastroenteritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon; Infectious disease specialist
acute sinusitis,acute sinusitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",ENT (Otolaryngologist)
substance-related mental disorder,substance-related mental disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
postpartum depression,"postpartum depression — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.","Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Obstetrician-Gynecologist; Psychiatrist / Psychologist
coronary atherosclerosis,coronary atherosclerosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Primary care physician (General practitioner / Family physician)
spondylitis,spondylitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pituitary adenoma,pituitary adenoma — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
uterine fibroids,uterine fibroids — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
idiopathic nonmenstrual bleeding,idiopathic nonmenstrual bleeding — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
chalazion,chalazion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
ovarian torsion,ovarian torsion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
retinopathy due to high blood pressure,retinopathy due to high blood pressure — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
vaginal yeast infection,vaginal yeast infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Gynecologist; Infectious disease specialist
mastoiditis,mastoiditis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
lung contusion,lung contusion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Pulmonologist
hypertrophic obstructive cardiomyopathy (hocm),hypertrophic obstructive cardiomyopathy (hocm) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist; Endocrinologist
ingrown toe nail,ingrown toe nail — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pulmonary eosinophilia,pulmonary eosinophilia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Pulmonologist
corneal disorder,corneal disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
foreign body in the gastrointestinal tract,foreign body in the gastrointestinal tract — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
endophthalmitis,endophthalmitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
intestinal malabsorption,intestinal malabsorption — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
viral warts,viral warts — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Infectious disease specialist
hyperhidrosis,hyperhidrosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
stroke,stroke — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Neurologist; Neurosurgeon
pilonidal cyst,pilonidal cyst — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
crushing injury,"crushing injury — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
normal pressure hydrocephalus,normal pressure hydrocephalus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
alopecia,alopecia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hashimoto thyroiditis,hashimoto thyroiditis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
flat feet,flat feet — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
nonalcoholic liver disease (nash),nonalcoholic liver disease (nash) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist
hemarthrosis,hemarthrosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pelvic organ prolapse,pelvic organ prolapse — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the arm,"fracture of the arm — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
coagulation (bleeding) disorder,coagulation (bleeding) disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
intracranial hemorrhage,intracranial hemorrhage — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
hyperkalemia,hyperkalemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
cornea infection,cornea infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist; Ophthalmologist
abscess of the lung,abscess of the lung — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist; Pulmonologist
dengue fever,dengue fever — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
chronic sinusitis,chronic sinusitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",ENT (Otolaryngologist)
cholesteatoma,cholesteatoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
volvulus,volvulus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the finger,"injury to the finger — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
poisoning due to analgesics,poisoning due to analgesics — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
atrial fibrillation,atrial fibrillation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
pinworm infection,pinworm infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
urethral valves,urethral valves — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
open wound of the neck,"open wound of the neck — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
achalasia,achalasia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
conductive hearing loss,conductive hearing loss — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
abdominal hernia,abdominal hernia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
cerebral palsy,cerebral palsy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
marijuana abuse,marijuana abuse — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
cryptococcosis,cryptococcosis — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Infectious disease specialist
obesity,obesity — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
indigestion,indigestion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
bursitis,bursitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
esophageal cancer,esophageal cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist
pulmonary congestion,pulmonary congestion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Pulmonologist
juvenile rheumatoid arthritis,juvenile rheumatoid arthritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
actinic keratosis,actinic keratosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
acute otitis media,acute otitis media — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
astigmatism,astigmatism — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
tuberous sclerosis,tuberous sclerosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
empyema,empyema — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
presbyacusis,presbyacusis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
neonatal jaundice,neonatal jaundice — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
chronic obstructive pulmonary disease (copd),chronic obstructive pulmonary disease (copd) — a respiratory condition that affects breathing due to airway inflammation or lung damage.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Pulmonologist
dislocation of the elbow,"dislocation of the elbow — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
spondylosis,spondylosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
herpangina,herpangina — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
injury to the shoulder,"injury to the shoulder — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
poisoning due to antidepressants,poisoning due to antidepressants — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
infection of open wound,infection of open wound — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Infectious disease specialist
deep vein thrombosis (dvt),deep vein thrombosis (dvt) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
